"exp_value","b","sim","Static_exp"
1,25,1,TRUE
2,25,1,TRUE
1,25,2,FALSE
2,25,2,FALSE
1,25,3,TRUE
2,25,3,TRUE
1,25,4,TRUE
2,25,4,TRUE
1,25,5,FALSE
2,25,5,FALSE
1,25,6,TRUE
2,25,6,TRUE
1,25,7,TRUE
2,25,7,TRUE
1,25,8,FALSE
2,25,8,FALSE
1,25,9,FALSE
2,25,9,FALSE
1,25,10,TRUE
2,25,10,TRUE
1,25,11,FALSE
2,25,11,FALSE
1,25,12,TRUE
2,25,12,TRUE
1,25,13,FALSE
2,25,13,FALSE
1,25,14,TRUE
2,25,14,TRUE
1,25,15,TRUE
2,25,15,TRUE
1,25,16,TRUE
2,25,16,TRUE
1,25,17,TRUE
2,25,17,TRUE
1,25,18,TRUE
2,25,18,TRUE
1,25,19,TRUE
2,25,19,TRUE
1,25,20,TRUE
2,25,20,TRUE
1,25,21,TRUE
2,25,21,TRUE
1,25,22,FALSE
2,25,22,FALSE
1,25,23,TRUE
2,25,23,TRUE
1,25,24,TRUE
2,25,24,TRUE
1,25,25,TRUE
2,25,25,TRUE
1,25,26,TRUE
2,25,26,TRUE
1,25,27,TRUE
2,25,27,TRUE
1,25,28,TRUE
2,25,28,TRUE
1,25,29,TRUE
2,25,29,TRUE
1,25,30,TRUE
2,25,30,TRUE
1,25,31,TRUE
2,25,31,TRUE
1,25,32,TRUE
2,25,32,TRUE
1,25,33,TRUE
2,25,33,TRUE
1,25,34,TRUE
2,25,34,TRUE
1,25,35,TRUE
2,25,35,TRUE
1,25,36,FALSE
2,25,36,FALSE
1,25,37,TRUE
2,25,37,TRUE
1,25,38,TRUE
2,25,38,TRUE
1,25,39,TRUE
2,25,39,TRUE
1,25,40,TRUE
2,25,40,TRUE
1,25,41,TRUE
2,25,41,TRUE
1,25,42,TRUE
2,25,42,TRUE
1,25,43,TRUE
2,25,43,TRUE
1,25,44,TRUE
2,25,44,TRUE
1,25,45,TRUE
2,25,45,TRUE
1,25,46,TRUE
2,25,46,TRUE
1,25,47,TRUE
2,25,47,TRUE
1,25,48,FALSE
2,25,48,FALSE
1,25,49,TRUE
2,25,49,TRUE
1,25,50,TRUE
2,25,50,TRUE
1,100,51,TRUE
2,100,51,TRUE
1,100,52,TRUE
2,100,52,TRUE
1,100,53,TRUE
2,100,53,TRUE
1,100,54,FALSE
2,100,54,FALSE
1,100,55,TRUE
2,100,55,TRUE
1,100,56,TRUE
2,100,56,TRUE
1,100,57,TRUE
2,100,57,TRUE
1,100,58,FALSE
2,100,58,FALSE
1,100,59,TRUE
2,100,59,TRUE
1,100,60,TRUE
2,100,60,TRUE
1,100,61,TRUE
2,100,61,TRUE
1,100,62,TRUE
2,100,62,TRUE
1,100,63,TRUE
2,100,63,TRUE
1,100,64,TRUE
2,100,64,TRUE
1,100,65,TRUE
2,100,65,TRUE
1,100,66,TRUE
2,100,66,TRUE
1,100,67,TRUE
2,100,67,TRUE
1,100,68,FALSE
2,100,68,FALSE
1,100,69,TRUE
2,100,69,TRUE
1,100,70,TRUE
2,100,70,TRUE
1,100,71,TRUE
2,100,71,TRUE
1,100,72,TRUE
2,100,72,TRUE
1,100,73,TRUE
2,100,73,TRUE
1,100,74,FALSE
2,100,74,FALSE
1,100,75,TRUE
2,100,75,TRUE
1,100,76,TRUE
2,100,76,TRUE
1,100,77,TRUE
2,100,77,TRUE
1,100,78,TRUE
2,100,78,TRUE
1,100,79,TRUE
2,100,79,TRUE
1,100,80,TRUE
2,100,80,TRUE
1,100,81,TRUE
2,100,81,TRUE
1,100,82,TRUE
2,100,82,TRUE
1,100,83,FALSE
2,100,83,FALSE
1,100,84,TRUE
2,100,84,TRUE
1,100,85,TRUE
2,100,85,TRUE
1,100,86,TRUE
2,100,86,TRUE
1,100,87,TRUE
2,100,87,TRUE
1,100,88,TRUE
2,100,88,TRUE
1,100,89,TRUE
2,100,89,TRUE
1,100,90,TRUE
2,100,90,TRUE
1,100,91,TRUE
2,100,91,TRUE
1,100,92,TRUE
2,100,92,TRUE
1,100,93,TRUE
2,100,93,TRUE
1,100,94,TRUE
2,100,94,TRUE
1,100,95,TRUE
2,100,95,TRUE
1,100,96,TRUE
2,100,96,TRUE
1,100,97,TRUE
2,100,97,TRUE
1,100,98,TRUE
2,100,98,TRUE
1,100,99,TRUE
2,100,99,TRUE
1,100,100,TRUE
2,100,100,TRUE
